userId,movieId,rating,timestamp
1,502356,2.5,1260759144
1,594767,3,1260759179
1,640146,3,1260759182
1,76600,2,1260759185
1,677179,4,1260759205
1,638974,2,1260759151
1,1008005,2,1260759187
1,315162,2,1260759148
1,700391,3.5,1260759125
1,713704,2,1260759131
1,603692,2.5,1260759135
1,736790,1,1260759203
1,849869,4,1260759191
1,804150,4,1260759139
1,1104040,3,1260759194
1,758323,2,1260759198
1,816904,2,1260759108
1,842945,2.5,1260759113
1,1033219,1,1260759200
1,948713,3,1260759117
2,980078,4,835355493
2,505642,5,835355681
2,436270,5,835355604
2,676710,4,835355552
2,296271,4,835355586
2,1076605,3,835356031
2,1084225,3,835355749
2,646389,4,835355532
2,1023313,3,835356016
2,943822,5,835355395
2,984105,4,835355441
2,964426,3,835355493
2,631842,3,835355441
2,676841,3,835355710
2,536554,3,835355511
2,1101799,3,835355664
2,1073413,3,835355511
2,758009,5,835355840
2,1077280,1,835355749
2,850871,3,835355552
2,776835,3,835355664
2,385687,3,835355896
2,1003579,4,835355511
2,1011679,4,835355681
2,1026563,5,835355697
2,985939,5,835355586
2,884184,3,835355767
2,676547,4,835355779
2,1087040,3,835355492
2,675353,4,835355395
2,1041513,3,835355532
2,988165,4,835356044
2,668482,2,835355551
2,843794,1,835355918
2,109428,3,835355492
2,616037,4,835355441
2,1104191,4,835355697
2,1003580,3,835355628
2,842942,3,835355749
2,634649,3,835355604
2,1058732,3,835355619
2,361743,2,835355932
2,983768,3,835355968
2,736526,3,835356094
2,599019,3,835355710
2,507086,3,835356165
2,829410,2,835356246
2,1058949,3,835355532
2,493529,4,835355604
2,573171,3,835355511
2,899112,4,835355790
2,916224,2,835355828
2,1045944,4,835355643
2,772515,3,835355918
2,555604,3,835355880
2,966220,4,835355731
2,324552,4,835355860
2,663712,4,835355719
2,947938,4,835355817
2,585511,4,835355731
2,635302,4,835356199
2,766507,3,835355767
2,724495,3,835356109
2,438148,5,835355767
2,1093349,3,835355860
2,823999,5,835355817
2,820232,3,835355790
2,934433,3,835355779
2,846433,3,835355441
2,988233,5,835355697
2,274855,5,835355395
2,790409,5,835355395
2,785084,3,835355511
2,399566,3,835355932
2,842544,4,835356141
2,1048300,4,835355978
3,919570,3,1298861675
3,453395,4,1298922049
3,508947,3.5,1298861637
3,49046,3,1298861761
3,882598,4.5,1298862418
3,458156,5,1298862121
3,840326,2.5,1298861589
3,875104,5,1298862167
3,653851,2.5,1298923242
3,1013860,3,1298862528
3,568124,3,1298922100
3,965839,3,1298923247
3,551271,3,1298921840
3,845659,2,1298923260
3,299536,3.5,1298932787
3,646385,4,1298863157
3,830784,3,1298861687
3,946740,5,1298932770
3,575322,3,1298921795
3,873126,4,1298861628
3,414906,3,1298861605
3,937278,4,1298861658
3,800787,3.5,1298922089
3,267805,4.5,1298923236
3,836225,4,1298863143
3,438695,4,1298921862
3,877269,4,1298861753
3,1016121,3,1298861789
3,585083,3,1298862710
3,717728,3.5,1298861796
3,869626,3,1298924017
3,782936,3.5,1298922057
3,1035806,4,1298861733
3,1068141,4,1298921825
3,1027159,5,1298862874
3,955991,3,1298861968
3,732459,4,1298861633
3,760741,5,1298863174
3,785398,3,1298923266
3,740952,3.5,1298862672
3,829560,3,1298922080
3,751741,2.5,1298921787
3,338958,3,1298922065
3,994751,3.5,1298861650
3,1047431,3,1298932766
3,245891,3.5,1298862555
3,1046043,3.5,1298932740
3,718930,4.5,1298862361
3,610150,4.5,1298862467
3,1071806,3,1298922071
3,987787,4,1298922130
4,848058,4,949810645
4,1013870,5,949919556
4,868985,5,949810582
4,1023156,5,949919681
4,792775,4,949811346
